time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:46:41.890000,1080,1920,1020,314
2022-10-15 22:46:41.900000,1080,1920,1020,312
2022-10-15 22:46:41.920000,1080,1920,1026,315
2022-10-15 22:46:41.940000,1080,1920,1020,319
2022-10-15 22:46:41.950000,1080,1920,1013,321
2022-10-15 22:46:41.970000,1080,1920,942,330
2022-10-15 22:46:41.990000,1080,1920,900,325
2022-10-15 22:46:42.040000,1080,1920,710,320
2022-10-15 22:46:42.050000,1080,1920,709,323
2022-10-15 22:46:42.070000,1080,1920,709,320
2022-10-15 22:46:42.090000,1080,1920,703,322
2022-10-15 22:46:42.100000,1080,1920,704,317
2022-10-15 22:46:42.120000,1080,1920,702,309
2022-10-15 22:46:42.140000,1080,1920,694,316
2022-10-15 22:46:42.150000,1080,1920,700,314
2022-10-15 22:46:42.170000,1080,1920,703,307
2022-10-15 22:46:42.190000,1080,1920,704,310
2022-10-15 22:46:42.200000,1080,1920,704,311
2022-10-15 22:46:42.220000,1080,1920,704,315
2022-10-15 22:46:42.240000,1080,1920,705,320
2022-10-15 22:46:42.250000,1080,1920,704,320
2022-10-15 22:46:42.270000,1080,1920,705,315
2022-10-15 22:46:42.290000,1080,1920,700,308
2022-10-15 22:46:42.300000,1080,1920,701,312
2022-10-15 22:46:42.320000,1080,1920,706,312
2022-10-15 22:46:42.340000,1080,1920,692,318
2022-10-15 22:46:42.350000,1080,1920,692,325
2022-10-15 22:46:42.500000,1080,1920,469,458
2022-10-15 22:46:42.520000,1080,1920,465,454
2022-10-15 22:46:42.540000,1080,1920,569,379
2022-10-15 22:46:42.550000,1080,1920,570,365
2022-10-15 22:46:42.570000,1080,1920,561,343
2022-10-15 22:46:42.590000,1080,1920,561,353
2022-10-15 22:46:42.600000,1080,1920,562,364
2022-10-15 22:46:42.620000,1080,1920,560,364
2022-10-15 22:46:42.640000,1080,1920,560,359
2022-10-15 22:46:42.650000,1080,1920,554,361
2022-10-15 22:46:42.670000,1080,1920,561,357
2022-10-15 22:46:42.690000,1080,1920,560,345
2022-10-15 22:46:42.700000,1080,1920,555,345
2022-10-15 22:46:42.720000,1080,1920,557,345
2022-10-15 22:46:42.740000,1080,1920,561,337
2022-10-15 22:46:42.750000,1080,1920,560,337
2022-10-15 22:46:42.770000,1080,1920,555,345
2022-10-15 22:46:42.790000,1080,1920,544,357
2022-10-15 22:46:42.800000,1080,1920,555,357
2022-10-15 22:46:42.820000,1080,1920,561,356
2022-10-15 22:46:42.840000,1080,1920,554,348
2022-10-15 22:46:42.850000,1080,1920,553,346
2022-10-15 22:46:42.870000,1080,1920,557,354
2022-10-15 22:46:42.890000,1080,1920,563,356
2022-10-15 22:46:42.900000,1080,1920,679,519
2022-10-15 22:46:42.920000,1080,1920,680,521
2022-10-15 22:46:42.940000,1080,1920,681,508
2022-10-15 22:46:42.950000,1080,1920,682,509
2022-10-15 22:46:42.970000,1080,1920,684,518
2022-10-15 22:46:42.990000,1080,1920,686,526
2022-10-15 22:46:43,1080,1920,687,521
2022-10-15 22:46:43.020000,1080,1920,687,519
2022-10-15 22:46:43.040000,1080,1920,687,521
2022-10-15 22:46:43.050000,1080,1920,689,519
2022-10-15 22:46:43.070000,1080,1920,692,523
2022-10-15 22:46:43.100000,1080,1920,687,518
2022-10-15 22:46:43.120000,1080,1920,684,520
2022-10-15 22:46:43.140000,1080,1920,684,517
2022-10-15 22:46:43.150000,1080,1920,684,517
2022-10-15 22:46:43.170000,1080,1920,682,522
2022-10-15 22:46:43.190000,1080,1920,681,523
2022-10-15 22:46:43.200000,1080,1920,681,520
2022-10-15 22:46:43.220000,1080,1920,688,517
2022-10-15 22:46:43.240000,1080,1920,693,516
2022-10-15 22:46:43.250000,1080,1920,693,505
2022-10-15 22:46:43.270000,1080,1920,727,438
2022-10-15 22:46:43.290000,1080,1920,743,396
2022-10-15 22:46:43.300000,1080,1920,749,364
2022-10-15 22:46:43.320000,1080,1920,750,370
2022-10-15 22:46:43.340000,1080,1920,756,388
2022-10-15 22:46:43.350000,1080,1920,758,384
2022-10-15 22:46:43.370000,1080,1920,752,379
2022-10-15 22:46:43.390000,1080,1920,752,385
2022-10-15 22:46:43.400000,1080,1920,753,385
2022-10-15 22:46:43.420000,1080,1920,752,377
2022-10-15 22:46:43.440000,1080,1920,751,359
2022-10-15 22:46:43.450000,1080,1920,753,368
2022-10-15 22:46:43.470000,1080,1920,761,373
2022-10-15 22:46:43.490000,1080,1920,760,374
2022-10-15 22:46:43.500000,1080,1920,760,371
2022-10-15 22:46:43.520000,1080,1920,757,369
2022-10-15 22:46:43.540000,1080,1920,752,379
2022-10-15 22:46:43.550000,1080,1920,754,383
2022-10-15 22:46:43.570000,1080,1920,755,384
2022-10-15 22:46:43.590000,1080,1920,754,381
2022-10-15 22:46:43.600000,1080,1920,755,381
2022-10-15 22:46:43.620000,1080,1920,759,382
2022-10-15 22:46:43.640000,1080,1920,760,386
2022-10-15 22:46:43.650000,1080,1920,757,389
2022-10-15 22:46:43.670000,1080,1920,755,391
2022-10-15 22:46:43.690000,1080,1920,755,394
2022-10-15 22:46:43.700000,1080,1920,756,390
2022-10-15 22:46:43.720000,1080,1920,756,389
2022-10-15 22:46:43.740000,1080,1920,753,383
2022-10-15 22:46:43.750000,1080,1920,758,384
2022-10-15 22:46:43.770000,1080,1920,758,386
2022-10-15 22:46:43.790000,1080,1920,755,382
2022-10-15 22:46:43.800000,1080,1920,760,381
2022-10-15 22:46:43.820000,1080,1920,761,381
2022-10-15 22:46:43.840000,1080,1920,761,382
2022-10-15 22:46:43.850000,1080,1920,743,413
2022-10-15 22:46:43.870000,1080,1920,671,510
2022-10-15 22:46:43.890000,1080,1920,657,549
2022-10-15 22:46:43.900000,1080,1920,661,553
2022-10-15 22:46:43.920000,1080,1920,664,553
2022-10-15 22:46:43.940000,1080,1920,666,553
2022-10-15 22:46:43.950000,1080,1920,664,555
2022-10-15 22:46:43.970000,1080,1920,667,562
2022-10-15 22:46:43.990000,1080,1920,663,562
2022-10-15 22:46:44,1080,1920,664,566
2022-10-15 22:46:44.020000,1080,1920,663,569
2022-10-15 22:46:44.040000,1080,1920,662,570
2022-10-15 22:46:44.050000,1080,1920,662,568
2022-10-15 22:46:44.070000,1080,1920,660,567
2022-10-15 22:46:44.090000,1080,1920,665,565
2022-10-15 22:46:44.100000,1080,1920,668,571
2022-10-15 22:46:44.120000,1080,1920,666,569
2022-10-15 22:46:44.140000,1080,1920,659,570
2022-10-15 22:46:44.150000,1080,1920,661,571
2022-10-15 22:46:44.170000,1080,1920,658,561
2022-10-15 22:46:44.190000,1080,1920,660,562
2022-10-15 22:46:44.200000,1080,1920,657,565
2022-10-15 22:46:44.220000,1080,1920,653,565
2022-10-15 22:46:44.240000,1080,1920,658,587
2022-10-15 22:46:44.290000,1080,1920,657,612
2022-10-15 22:46:44.300000,1080,1920,620,680
2022-10-15 22:46:44.320000,1080,1920,602,713
2022-10-15 22:46:44.330000,1080,1920,613,745
2022-10-15 22:46:44.350000,1080,1920,621,744
2022-10-15 22:46:44.370000,1080,1920,619,738
2022-10-15 22:46:44.390000,1080,1920,615,738
2022-10-15 22:46:44.400000,1080,1920,611,734
2022-10-15 22:46:44.420000,1080,1920,610,735
2022-10-15 22:46:44.430000,1080,1920,617,737
2022-10-15 22:46:44.450000,1080,1920,617,736
2022-10-15 22:46:44.470000,1080,1920,612,731
2022-10-15 22:46:44.480000,1080,1920,615,730
2022-10-15 22:46:44.500000,1080,1920,621,732
2022-10-15 22:46:44.520000,1080,1920,617,733
2022-10-15 22:46:44.540000,1080,1920,616,735
2022-10-15 22:46:44.550000,1080,1920,622,739
2022-10-15 22:46:44.570000,1080,1920,616,735
2022-10-15 22:46:44.580000,1080,1920,613,728
2022-10-15 22:46:44.600000,1080,1920,612,610
2022-10-15 22:46:44.620000,1080,1920,621,536
2022-10-15 22:46:44.640000,1080,1920,670,420
2022-10-15 22:46:44.650000,1080,1920,664,406
2022-10-15 22:46:44.670000,1080,1920,664,389
2022-10-15 22:46:44.680000,1080,1920,663,394
2022-10-15 22:46:44.700000,1080,1920,663,387
2022-10-15 22:46:44.720000,1080,1920,669,387
2022-10-15 22:46:44.730000,1080,1920,664,397
2022-10-15 22:46:44.750000,1080,1920,658,395
2022-10-15 22:46:44.770000,1080,1920,678,392
2022-10-15 22:46:44.790000,1080,1920,717,386
2022-10-15 22:46:44.800000,1080,1920,873,372
2022-10-15 22:46:44.820000,1080,1920,869,372
2022-10-15 22:46:44.830000,1080,1920,874,372
2022-10-15 22:46:44.850000,1080,1920,876,374
2022-10-15 22:46:44.870000,1080,1920,878,378
2022-10-15 22:46:44.890000,1080,1920,877,380
2022-10-15 22:46:44.900000,1080,1920,874,386
2022-10-15 22:46:44.920000,1080,1920,877,390
2022-10-15 22:46:44.930000,1080,1920,876,369
2022-10-15 22:46:44.950000,1080,1920,875,365
2022-10-15 22:46:44.970000,1080,1920,819,379
2022-10-15 22:46:44.980000,1080,1920,796,378
2022-10-15 22:46:45,1080,1920,800,381
2022-10-15 22:46:45.020000,1080,1920,802,381
2022-10-15 22:46:45.040000,1080,1920,804,377
2022-10-15 22:46:45.050000,1080,1920,807,377
2022-10-15 22:46:45.070000,1080,1920,808,373
2022-10-15 22:46:45.080000,1080,1920,803,367
2022-10-15 22:46:45.100000,1080,1920,800,368
2022-10-15 22:46:45.120000,1080,1920,796,370
2022-10-15 22:46:45.140000,1080,1920,801,365
2022-10-15 22:46:45.150000,1080,1920,807,361
2022-10-15 22:46:45.170000,1080,1920,546,360
2022-10-15 22:46:45.180000,1080,1920,554,374
2022-10-15 22:46:45.200000,1080,1920,550,370
2022-10-15 22:46:45.220000,1080,1920,547,371
2022-10-15 22:46:45.230000,1080,1920,553,374
