time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:46:47.900000,1080,1920,847,383
2022-10-15 22:46:47.920000,1080,1920,848,384
2022-10-15 22:46:47.930000,1080,1920,848,387
2022-10-15 22:46:47.950000,1080,1920,849,386
2022-10-15 22:46:47.970000,1080,1920,848,382
2022-10-15 22:46:47.980000,1080,1920,848,383
2022-10-15 22:46:48,1080,1920,851,387
2022-10-15 22:46:48.020000,1080,1920,849,382
2022-10-15 22:46:48.030000,1080,1920,847,376
2022-10-15 22:46:48.050000,1080,1920,841,379
2022-10-15 22:46:48.070000,1080,1920,842,380
2022-10-15 22:46:48.080000,1080,1920,847,375
2022-10-15 22:46:48.100000,1080,1920,848,376
2022-10-15 22:46:48.120000,1080,1920,846,376
2022-10-15 22:46:48.130000,1080,1920,845,375
2022-10-15 22:46:48.150000,1080,1920,849,372
2022-10-15 22:46:48.170000,1080,1920,847,372
2022-10-15 22:46:48.180000,1080,1920,843,373
2022-10-15 22:46:48.200000,1080,1920,844,371
2022-10-15 22:46:48.220000,1080,1920,839,370
2022-10-15 22:46:48.230000,1080,1920,840,367
2022-10-15 22:46:48.250000,1080,1920,847,373
2022-10-15 22:46:48.270000,1080,1920,845,376
2022-10-15 22:46:48.280000,1080,1920,847,370
2022-10-15 22:46:48.300000,1080,1920,846,368
2022-10-15 22:46:48.320000,1080,1920,836,369
2022-10-15 22:46:48.330000,1080,1920,837,372
2022-10-15 22:46:48.350000,1080,1920,845,375
2022-10-15 22:46:48.370000,1080,1920,847,366
2022-10-15 22:46:48.380000,1080,1920,846,363
2022-10-15 22:46:48.400000,1080,1920,845,371
2022-10-15 22:46:48.420000,1080,1920,838,370
2022-10-15 22:46:48.430000,1080,1920,839,371
2022-10-15 22:46:48.450000,1080,1920,842,372
2022-10-15 22:46:48.470000,1080,1920,839,373
2022-10-15 22:46:48.480000,1080,1920,840,373
2022-10-15 22:46:48.500000,1080,1920,842,372
2022-10-15 22:46:48.520000,1080,1920,842,375
2022-10-15 22:46:48.530000,1080,1920,841,374
2022-10-15 22:46:48.550000,1080,1920,840,370
2022-10-15 22:46:48.570000,1080,1920,841,372
2022-10-15 22:46:48.580000,1080,1920,843,371
2022-10-15 22:46:48.600000,1080,1920,590,376
2022-10-15 22:46:48.620000,1080,1920,589,392
2022-10-15 22:46:48.630000,1080,1920,595,398
2022-10-15 22:46:48.650000,1080,1920,599,397
2022-10-15 22:46:48.670000,1080,1920,591,396
2022-10-15 22:46:48.680000,1080,1920,587,395
2022-10-15 22:46:48.700000,1080,1920,587,398
2022-10-15 22:46:48.720000,1080,1920,588,399
2022-10-15 22:46:48.730000,1080,1920,587,384
2022-10-15 22:46:48.750000,1080,1920,586,383
2022-10-15 22:46:48.770000,1080,1920,595,394
2022-10-15 22:46:48.780000,1080,1920,594,397
2022-10-15 22:46:48.800000,1080,1920,587,395
2022-10-15 22:46:48.820000,1080,1920,591,393
2022-10-15 22:46:48.830000,1080,1920,589,393
2022-10-15 22:46:48.850000,1080,1920,589,397
2022-10-15 22:46:48.870000,1080,1920,590,394
2022-10-15 22:46:48.880000,1080,1920,596,397
2022-10-15 22:46:48.900000,1080,1920,598,403
2022-10-15 22:46:48.920000,1080,1920,590,400
2022-10-15 22:46:48.930000,1080,1920,592,396
2022-10-15 22:46:48.950000,1080,1920,589,388
2022-10-15 22:46:48.960000,1080,1920,591,385
2022-10-15 22:46:48.980000,1080,1920,593,387
2022-10-15 22:46:49,1080,1920,595,388
2022-10-15 22:46:49.020000,1080,1920,601,385
2022-10-15 22:46:49.030000,1080,1920,596,385
2022-10-15 22:46:49.050000,1080,1920,590,392
2022-10-15 22:46:49.060000,1080,1920,589,397
2022-10-15 22:46:49.080000,1080,1920,592,393
2022-10-15 22:46:49.100000,1080,1920,595,396
2022-10-15 22:46:49.110000,1080,1920,588,395
2022-10-15 22:46:49.130000,1080,1920,586,393
2022-10-15 22:46:49.150000,1080,1920,592,399
2022-10-15 22:46:49.170000,1080,1920,592,398
2022-10-15 22:46:49.180000,1080,1920,591,398
2022-10-15 22:46:49.200000,1080,1920,663,431
2022-10-15 22:46:49.210000,1080,1920,699,455
2022-10-15 22:46:49.230000,1080,1920,684,451
2022-10-15 22:46:49.250000,1080,1920,679,442
2022-10-15 22:46:49.270000,1080,1920,684,437
2022-10-15 22:46:49.280000,1080,1920,688,432
2022-10-15 22:46:49.300000,1080,1920,689,435
2022-10-15 22:46:49.310000,1080,1920,680,439
2022-10-15 22:46:49.330000,1080,1920,684,439
2022-10-15 22:46:49.350000,1080,1920,692,446
