time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:46:53.910000,1080,1920,765,392
2022-10-15 22:46:53.930000,1080,1920,749,383
2022-10-15 22:46:53.940000,1080,1920,736,369
2022-10-15 22:46:53.960000,1080,1920,730,355
2022-10-15 22:46:53.980000,1080,1920,727,355
2022-10-15 22:46:54,1080,1920,724,352
2022-10-15 22:46:54.010000,1080,1920,732,345
2022-10-15 22:46:54.030000,1080,1920,716,401
2022-10-15 22:46:54.190000,1080,1920,710,383
2022-10-15 22:46:54.210000,1080,1920,712,357
2022-10-15 22:46:54.230000,1080,1920,704,312
2022-10-15 22:46:54.250000,1080,1920,695,304
2022-10-15 22:46:54.260000,1080,1920,709,313
2022-10-15 22:46:54.280000,1080,1920,708,313
2022-10-15 22:46:54.300000,1080,1920,710,309
2022-10-15 22:46:54.310000,1080,1920,708,306
2022-10-15 22:46:54.330000,1080,1920,706,305
2022-10-15 22:46:54.340000,1080,1920,708,317
2022-10-15 22:46:54.360000,1080,1920,708,306
2022-10-15 22:46:54.380000,1080,1920,709,307
2022-10-15 22:46:54.400000,1080,1920,707,309
2022-10-15 22:46:54.410000,1080,1920,703,308
2022-10-15 22:46:54.430000,1080,1920,698,310
2022-10-15 22:46:54.440000,1080,1920,696,291
2022-10-15 22:46:54.530000,1080,1920,578,283
2022-10-15 22:46:54.550000,1080,1920,571,294
2022-10-15 22:46:54.560000,1080,1920,574,307
2022-10-15 22:46:54.580000,1080,1920,581,309
2022-10-15 22:46:54.590000,1080,1920,582,315
2022-10-15 22:46:54.750000,1080,1920,495,587
2022-10-15 22:46:54.760000,1080,1920,606,465
2022-10-15 22:46:54.780000,1080,1920,638,405
2022-10-15 22:46:54.800000,1080,1920,644,315
2022-10-15 22:46:54.810000,1080,1920,637,315
2022-10-15 22:46:54.830000,1080,1920,637,308
2022-10-15 22:46:54.840000,1080,1920,639,310
2022-10-15 22:46:54.860000,1080,1920,647,311
2022-10-15 22:46:54.880000,1080,1920,650,313
2022-10-15 22:46:54.900000,1080,1920,646,299
2022-10-15 22:46:54.910000,1080,1920,643,303
2022-10-15 22:46:54.930000,1080,1920,645,324
2022-10-15 22:46:54.940000,1080,1920,646,326
2022-10-15 22:46:54.960000,1080,1920,647,322
2022-10-15 22:46:54.980000,1080,1920,644,319
2022-10-15 22:46:54.990000,1080,1920,641,325
2022-10-15 22:46:55.010000,1080,1920,643,326
2022-10-15 22:46:55.030000,1080,1920,644,329
2022-10-15 22:46:55.040000,1080,1920,649,331
2022-10-15 22:46:55.060000,1080,1920,653,331
2022-10-15 22:46:55.080000,1080,1920,648,329
2022-10-15 22:46:55.090000,1080,1920,642,328
2022-10-15 22:46:55.110000,1080,1920,643,329
2022-10-15 22:46:55.130000,1080,1920,643,330
2022-10-15 22:46:55.140000,1080,1920,642,329
2022-10-15 22:46:55.160000,1080,1920,641,328
2022-10-15 22:46:55.180000,1080,1920,643,331
2022-10-15 22:46:55.190000,1080,1920,646,329
2022-10-15 22:46:55.210000,1080,1920,646,329
2022-10-15 22:46:55.230000,1080,1920,645,330
2022-10-15 22:46:55.240000,1080,1920,646,328
2022-10-15 22:46:55.260000,1080,1920,646,328
2022-10-15 22:46:55.280000,1080,1920,643,322
2022-10-15 22:46:55.290000,1080,1920,644,319
2022-10-15 22:46:55.310000,1080,1920,645,325
2022-10-15 22:46:55.330000,1080,1920,638,321
2022-10-15 22:46:55.340000,1080,1920,619,300
2022-10-15 22:46:55.360000,1080,1920,494,256
2022-10-15 22:46:55.380000,1080,1920,489,245
2022-10-15 22:46:55.390000,1080,1920,484,235
2022-10-15 22:46:55.410000,1080,1920,481,237
2022-10-15 22:46:55.430000,1080,1920,484,234
2022-10-15 22:46:55.440000,1080,1920,487,237
2022-10-15 22:46:55.460000,1080,1920,494,240
2022-10-15 22:46:55.480000,1080,1920,494,239
2022-10-15 22:46:55.490000,1080,1920,494,231
2022-10-15 22:46:55.510000,1080,1920,495,226
2022-10-15 22:46:55.530000,1080,1920,504,228
2022-10-15 22:46:55.540000,1080,1920,500,230
2022-10-15 22:46:55.560000,1080,1920,498,235
2022-10-15 22:46:55.580000,1080,1920,504,240
2022-10-15 22:46:55.590000,1080,1920,505,235
2022-10-15 22:46:55.610000,1080,1920,500,231
2022-10-15 22:46:55.630000,1080,1920,493,230
2022-10-15 22:46:55.640000,1080,1920,494,232
2022-10-15 22:46:55.660000,1080,1920,493,239
2022-10-15 22:46:55.680000,1080,1920,494,242
2022-10-15 22:46:55.690000,1080,1920,497,244
2022-10-15 22:46:55.710000,1080,1920,501,244
2022-10-15 22:46:55.730000,1080,1920,500,245
