time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:47:05.920000,1080,1920,1106,478
2022-10-15 22:47:05.940000,1080,1920,1131,453
2022-10-15 22:47:05.950000,1080,1920,1190,385
2022-10-15 22:47:05.970000,1080,1920,1279,315
2022-10-15 22:47:05.990000,1080,1920,1277,303
2022-10-15 22:47:06,1080,1920,1283,297
2022-10-15 22:47:06.020000,1080,1920,1293,292
2022-10-15 22:47:06.040000,1080,1920,1291,292
2022-10-15 22:47:06.050000,1080,1920,1301,277
2022-10-15 22:47:06.070000,1080,1920,1270,262
2022-10-15 22:47:06.090000,1080,1920,1198,220
2022-10-15 22:47:06.250000,1080,1920,1342,271
2022-10-15 22:47:06.270000,1080,1920,1309,202
2022-10-15 22:47:06.290000,1080,1920,1228,158
2022-10-15 22:47:06.300000,1080,1920,1361,229
2022-10-15 22:47:06.320000,1080,1920,1340,217
2022-10-15 22:47:06.340000,1080,1920,1347,219
2022-10-15 22:47:06.350000,1080,1920,1347,221
2022-10-15 22:47:06.370000,1080,1920,1347,219
2022-10-15 22:47:06.390000,1080,1920,1345,218
2022-10-15 22:47:06.400000,1080,1920,1338,216
2022-10-15 22:47:06.420000,1080,1920,1341,217
2022-10-15 22:47:06.440000,1080,1920,1340,219
2022-10-15 22:47:06.450000,1080,1920,1339,222
2022-10-15 22:47:06.470000,1080,1920,1348,230
2022-10-15 22:47:06.490000,1080,1920,1378,239
2022-10-15 22:47:06.500000,1080,1920,1396,231
2022-10-15 22:47:06.520000,1080,1920,1398,234
2022-10-15 22:47:06.540000,1080,1920,1396,247
2022-10-15 22:47:06.550000,1080,1920,1388,248
2022-10-15 22:47:06.570000,1080,1920,1391,249
2022-10-15 22:47:06.590000,1080,1920,1392,249
2022-10-15 22:47:06.600000,1080,1920,1394,246
2022-10-15 22:47:06.620000,1080,1920,1388,255
2022-10-15 22:47:06.640000,1080,1920,1390,251
2022-10-15 22:47:06.650000,1080,1920,1384,250
2022-10-15 22:47:06.670000,1080,1920,1381,248
2022-10-15 22:47:06.690000,1080,1920,1382,249
2022-10-15 22:47:06.700000,1080,1920,1382,246
2022-10-15 22:47:06.720000,1080,1920,1389,242
2022-10-15 22:47:06.740000,1080,1920,1386,247
2022-10-15 22:47:06.750000,1080,1920,1391,243
2022-10-15 22:47:06.770000,1080,1920,1393,242
2022-10-15 22:47:06.790000,1080,1920,1387,240
2022-10-15 22:47:06.800000,1080,1920,1386,238
2022-10-15 22:47:06.820000,1080,1920,1388,239
2022-10-15 22:47:06.840000,1080,1920,1387,239
2022-10-15 22:47:06.850000,1080,1920,1357,239
2022-10-15 22:47:06.870000,1080,1920,1319,228
2022-10-15 22:47:06.890000,1080,1920,1281,229
2022-10-15 22:47:06.900000,1080,1920,1279,229
2022-10-15 22:47:06.920000,1080,1920,1285,225
2022-10-15 22:47:06.940000,1080,1920,1287,232
2022-10-15 22:47:06.950000,1080,1920,1286,233
2022-10-15 22:47:06.970000,1080,1920,1284,231
2022-10-15 22:47:06.990000,1080,1920,1284,231
2022-10-15 22:47:07,1080,1920,1282,233
2022-10-15 22:47:07.020000,1080,1920,1286,230
2022-10-15 22:47:07.040000,1080,1920,1288,228
2022-10-15 22:47:07.050000,1080,1920,1282,226
2022-10-15 22:47:07.070000,1080,1920,1289,220
2022-10-15 22:47:07.090000,1080,1920,1299,212
2022-10-15 22:47:07.100000,1080,1920,1295,209
2022-10-15 22:47:07.120000,1080,1920,1295,212
2022-10-15 22:47:07.140000,1080,1920,1299,214
2022-10-15 22:47:07.150000,1080,1920,1290,217
2022-10-15 22:47:07.170000,1080,1920,1292,220
2022-10-15 22:47:07.190000,1080,1920,1300,216
2022-10-15 22:47:07.200000,1080,1920,1300,204
2022-10-15 22:47:07.220000,1080,1920,1304,202
2022-10-15 22:47:07.240000,1080,1920,1301,203
2022-10-15 22:47:07.250000,1080,1920,1306,198
2022-10-15 22:47:07.270000,1080,1920,1308,200
2022-10-15 22:47:07.290000,1080,1920,1299,201
2022-10-15 22:47:07.300000,1080,1920,1298,203
2022-10-15 22:47:07.320000,1080,1920,1303,203
2022-10-15 22:47:07.340000,1080,1920,1299,205
2022-10-15 22:47:07.350000,1080,1920,1299,201
2022-10-15 22:47:07.370000,1080,1920,1295,198
2022-10-15 22:47:07.390000,1080,1920,1294,201
2022-10-15 22:47:07.400000,1080,1920,1297,207
2022-10-15 22:47:07.420000,1080,1920,1295,206
2022-10-15 22:47:07.440000,1080,1920,1299,208
2022-10-15 22:47:07.450000,1080,1920,1296,209
2022-10-15 22:47:07.470000,1080,1920,1300,196
2022-10-15 22:47:07.490000,1080,1920,1296,210
2022-10-15 22:47:07.500000,1080,1920,1275,241
2022-10-15 22:47:07.520000,1080,1920,1257,265
2022-10-15 22:47:07.540000,1080,1920,1213,308
2022-10-15 22:47:07.550000,1080,1920,1213,308
2022-10-15 22:47:07.570000,1080,1920,1368,115
2022-10-15 22:47:07.580000,1080,1920,1378,130
2022-10-15 22:47:07.600000,1080,1920,1333,160
2022-10-15 22:47:07.620000,1080,1920,1202,120
2022-10-15 22:47:07.640000,1080,1920,1220,542
2022-10-15 22:47:07.820000,1080,1920,1299,350
2022-10-15 22:47:07.830000,1080,1920,1336,162
2022-10-15 22:47:07.850000,1080,1920,1334,177
2022-10-15 22:47:07.870000,1080,1920,1334,189
2022-10-15 22:47:07.890000,1080,1920,1335,168
2022-10-15 22:47:07.900000,1080,1920,1332,169
2022-10-15 22:47:07.920000,1080,1920,1336,168
2022-10-15 22:47:07.930000,1080,1920,1335,167
2022-10-15 22:47:07.950000,1080,1920,1336,170
2022-10-15 22:47:07.970000,1080,1920,1333,171
2022-10-15 22:47:07.980000,1080,1920,1329,174
2022-10-15 22:47:08,1080,1920,1330,186
2022-10-15 22:47:08.020000,1080,1920,1323,193
2022-10-15 22:47:08.040000,1080,1920,1327,188
2022-10-15 22:47:08.050000,1080,1920,1352,219
2022-10-15 22:47:08.070000,1080,1920,1369,328
2022-10-15 22:47:08.080000,1080,1920,1362,333
2022-10-15 22:47:08.100000,1080,1920,1367,330
2022-10-15 22:47:08.120000,1080,1920,1362,333
2022-10-15 22:47:08.140000,1080,1920,1354,334
2022-10-15 22:47:08.150000,1080,1920,1355,334
2022-10-15 22:47:08.170000,1080,1920,1359,336
2022-10-15 22:47:08.180000,1080,1920,1366,354
2022-10-15 22:47:08.200000,1080,1920,1365,359
2022-10-15 22:47:08.390000,1080,1920,1364,335
2022-10-15 22:47:08.400000,1080,1920,1342,288
2022-10-15 22:47:08.420000,1080,1920,1293,245
2022-10-15 22:47:08.430000,1080,1920,1380,297
2022-10-15 22:47:08.450000,1080,1920,1364,282
2022-10-15 22:47:08.470000,1080,1920,1367,286
2022-10-15 22:47:08.480000,1080,1920,1371,280
2022-10-15 22:47:08.500000,1080,1920,1367,282
2022-10-15 22:47:08.520000,1080,1920,1359,282
2022-10-15 22:47:08.540000,1080,1920,1364,282
2022-10-15 22:47:08.550000,1080,1920,1365,282
2022-10-15 22:47:08.570000,1080,1920,1360,284
2022-10-15 22:47:08.580000,1080,1920,1364,290
2022-10-15 22:47:08.600000,1080,1920,1364,288
2022-10-15 22:47:08.620000,1080,1920,1366,288
2022-10-15 22:47:08.640000,1080,1920,1372,289
2022-10-15 22:47:08.650000,1080,1920,1367,293
2022-10-15 22:47:08.670000,1080,1920,1363,298
2022-10-15 22:47:08.680000,1080,1920,1371,290
2022-10-15 22:47:08.700000,1080,1920,1371,281
2022-10-15 22:47:08.720000,1080,1920,1369,287
2022-10-15 22:47:08.730000,1080,1920,1377,291
2022-10-15 22:47:08.750000,1080,1920,1380,286
2022-10-15 22:47:08.770000,1080,1920,1377,283
2022-10-15 22:47:08.790000,1080,1920,1378,281
2022-10-15 22:47:08.800000,1080,1920,1373,278
2022-10-15 22:47:08.820000,1080,1920,1374,281
2022-10-15 22:47:08.830000,1080,1920,1369,285
2022-10-15 22:47:08.850000,1080,1920,1368,284
2022-10-15 22:47:08.870000,1080,1920,1367,286
2022-10-15 22:47:08.890000,1080,1920,1368,287
2022-10-15 22:47:08.900000,1080,1920,1369,290
2022-10-15 22:47:08.920000,1080,1920,1368,289
2022-10-15 22:47:08.930000,1080,1920,1359,279
2022-10-15 22:47:08.950000,1080,1920,1292,264
2022-10-15 22:47:08.970000,1080,1920,1299,261
2022-10-15 22:47:08.980000,1080,1920,1298,263
2022-10-15 22:47:09,1080,1920,1299,259
2022-10-15 22:47:09.020000,1080,1920,1296,254
2022-10-15 22:47:09.030000,1080,1920,1301,253
2022-10-15 22:47:09.050000,1080,1920,1306,256
2022-10-15 22:47:09.070000,1080,1920,1304,257
2022-10-15 22:47:09.080000,1080,1920,1302,274
2022-10-15 22:47:09.100000,1080,1920,1302,251
2022-10-15 22:47:09.120000,1080,1920,1315,174
2022-10-15 22:47:09.320000,1080,1920,1366,170
2022-10-15 22:47:09.330000,1080,1920,1334,205
2022-10-15 22:47:09.350000,1080,1920,1342,251
2022-10-15 22:47:09.370000,1080,1920,1348,259
2022-10-15 22:47:09.380000,1080,1920,1345,243
2022-10-15 22:47:09.400000,1080,1920,1346,246
2022-10-15 22:47:09.420000,1080,1920,1346,237
2022-10-15 22:47:09.430000,1080,1920,1346,235
2022-10-15 22:47:09.450000,1080,1920,1346,238
2022-10-15 22:47:09.470000,1080,1920,1346,245
2022-10-15 22:47:09.480000,1080,1920,1380,312
2022-10-15 22:47:09.500000,1080,1920,1394,341
2022-10-15 22:47:09.520000,1080,1920,1386,333
2022-10-15 22:47:09.530000,1080,1920,1385,329
2022-10-15 22:47:09.550000,1080,1920,1388,325
2022-10-15 22:47:09.570000,1080,1920,1389,327
2022-10-15 22:47:09.580000,1080,1920,1382,333
2022-10-15 22:47:09.600000,1080,1920,1385,328
2022-10-15 22:47:09.620000,1080,1920,1382,334
2022-10-15 22:47:09.630000,1080,1920,1385,340
2022-10-15 22:47:09.650000,1080,1920,1384,335
