time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:47:11.930000,1080,1920,737,560
2022-10-15 22:47:11.950000,1080,1920,755,509
2022-10-15 22:47:11.970000,1080,1920,753,419
2022-10-15 22:47:11.980000,1080,1920,749,353
2022-10-15 22:47:12,1080,1920,750,346
2022-10-15 22:47:12.020000,1080,1920,753,342
2022-10-15 22:47:12.030000,1080,1920,753,346
2022-10-15 22:47:12.050000,1080,1920,754,345
2022-10-15 22:47:12.070000,1080,1920,757,345
2022-10-15 22:47:12.080000,1080,1920,752,342
2022-10-15 22:47:12.100000,1080,1920,752,344
2022-10-15 22:47:12.120000,1080,1920,749,350
2022-10-15 22:47:12.130000,1080,1920,749,351
2022-10-15 22:47:12.150000,1080,1920,749,350
2022-10-15 22:47:12.170000,1080,1920,754,356
2022-10-15 22:47:12.180000,1080,1920,767,354
2022-10-15 22:47:12.200000,1080,1920,774,348
2022-10-15 22:47:12.210000,1080,1920,782,338
2022-10-15 22:47:12.230000,1080,1920,778,334
2022-10-15 22:47:12.250000,1080,1920,772,336
2022-10-15 22:47:12.270000,1080,1920,773,341
2022-10-15 22:47:12.280000,1080,1920,779,335
2022-10-15 22:47:12.300000,1080,1920,777,333
2022-10-15 22:47:12.310000,1080,1920,778,332
2022-10-15 22:47:12.330000,1080,1920,781,333
2022-10-15 22:47:12.350000,1080,1920,778,336
2022-10-15 22:47:12.360000,1080,1920,852,379
2022-10-15 22:47:12.380000,1080,1920,1051,489
2022-10-15 22:47:12.400000,1080,1920,1186,577
2022-10-15 22:47:12.420000,1080,1920,1201,577
2022-10-15 22:47:12.430000,1080,1920,1204,573
2022-10-15 22:47:12.450000,1080,1920,1198,571
2022-10-15 22:47:12.460000,1080,1920,1197,573
2022-10-15 22:47:12.480000,1080,1920,1198,571
2022-10-15 22:47:12.500000,1080,1920,1197,575
2022-10-15 22:47:12.520000,1080,1920,1194,581
2022-10-15 22:47:12.530000,1080,1920,1193,580
2022-10-15 22:47:12.550000,1080,1920,1194,578
2022-10-15 22:47:12.560000,1080,1920,1194,580
2022-10-15 22:47:12.580000,1080,1920,1194,580
2022-10-15 22:47:12.600000,1080,1920,1194,576
2022-10-15 22:47:12.610000,1080,1920,1194,574
2022-10-15 22:47:12.630000,1080,1920,1197,572
2022-10-15 22:47:12.650000,1080,1920,1229,514
2022-10-15 22:47:12.670000,1080,1920,1247,473
2022-10-15 22:47:12.680000,1080,1920,1254,445
2022-10-15 22:47:12.700000,1080,1920,1257,446
2022-10-15 22:47:12.710000,1080,1920,1258,439
2022-10-15 22:47:12.730000,1080,1920,1258,444
2022-10-15 22:47:12.750000,1080,1920,1261,443
2022-10-15 22:47:12.770000,1080,1920,1265,441
2022-10-15 22:47:12.780000,1080,1920,1264,441
2022-10-15 22:47:12.800000,1080,1920,1265,440
2022-10-15 22:47:12.810000,1080,1920,1265,439
2022-10-15 22:47:12.830000,1080,1920,1260,442
2022-10-15 22:47:12.850000,1080,1920,1251,443
2022-10-15 22:47:12.860000,1080,1920,1251,439
2022-10-15 22:47:12.880000,1080,1920,1250,438
2022-10-15 22:47:12.900000,1080,1920,1251,437
2022-10-15 22:47:12.920000,1080,1920,1258,435
2022-10-15 22:47:12.930000,1080,1920,1258,436
2022-10-15 22:47:12.950000,1080,1920,1254,439
2022-10-15 22:47:12.960000,1080,1920,1256,440
2022-10-15 22:47:12.980000,1080,1920,1255,439
2022-10-15 22:47:13,1080,1920,1239,437
2022-10-15 22:47:13.020000,1080,1920,985,413
2022-10-15 22:47:13.030000,1080,1920,952,404
2022-10-15 22:47:13.080000,1080,1920,757,347
2022-10-15 22:47:13.100000,1080,1920,750,342
2022-10-15 22:47:13.110000,1080,1920,748,344
2022-10-15 22:47:13.130000,1080,1920,747,354
2022-10-15 22:47:13.150000,1080,1920,745,351
2022-10-15 22:47:13.170000,1080,1920,744,345
2022-10-15 22:47:13.180000,1080,1920,736,344
2022-10-15 22:47:13.200000,1080,1920,734,335
2022-10-15 22:47:13.210000,1080,1920,745,343
2022-10-15 22:47:13.230000,1080,1920,743,342
2022-10-15 22:47:13.250000,1080,1920,744,338
2022-10-15 22:47:13.270000,1080,1920,749,342
2022-10-15 22:47:13.280000,1080,1920,758,337
2022-10-15 22:47:13.300000,1080,1920,760,342
2022-10-15 22:47:13.310000,1080,1920,760,341
2022-10-15 22:47:13.330000,1080,1920,760,339
2022-10-15 22:47:13.350000,1080,1920,755,342
2022-10-15 22:47:13.360000,1080,1920,755,341
2022-10-15 22:47:13.380000,1080,1920,755,346
2022-10-15 22:47:13.400000,1080,1920,751,349
2022-10-15 22:47:13.420000,1080,1920,760,349
2022-10-15 22:47:13.430000,1080,1920,761,344
2022-10-15 22:47:13.450000,1080,1920,758,337
2022-10-15 22:47:13.460000,1080,1920,759,338
2022-10-15 22:47:13.480000,1080,1920,753,341
2022-10-15 22:47:13.500000,1080,1920,758,331
2022-10-15 22:47:13.520000,1080,1920,759,338
2022-10-15 22:47:13.530000,1080,1920,767,333
2022-10-15 22:47:13.550000,1080,1920,775,314
2022-10-15 22:47:13.700000,1080,1920,713,325
2022-10-15 22:47:13.710000,1080,1920,710,316
2022-10-15 22:47:13.730000,1080,1920,710,344
2022-10-15 22:47:13.750000,1080,1920,709,331
2022-10-15 22:47:13.760000,1080,1920,709,332
2022-10-15 22:47:13.780000,1080,1920,724,339
2022-10-15 22:47:13.800000,1080,1920,712,320
2022-10-15 22:47:13.810000,1080,1920,710,331
2022-10-15 22:47:13.830000,1080,1920,715,331
2022-10-15 22:47:13.850000,1080,1920,714,351
2022-10-15 22:47:13.860000,1080,1920,704,384
2022-10-15 22:47:13.880000,1080,1920,695,413
2022-10-15 22:47:13.900000,1080,1920,694,407
2022-10-15 22:47:13.910000,1080,1920,706,406
2022-10-15 22:47:13.930000,1080,1920,707,404
2022-10-15 22:47:13.950000,1080,1920,707,399
2022-10-15 22:47:13.960000,1080,1920,712,405
2022-10-15 22:47:13.980000,1080,1920,709,417
2022-10-15 22:47:14,1080,1920,705,410
2022-10-15 22:47:14.010000,1080,1920,722,344
2022-10-15 22:47:14.030000,1080,1920,737,271
2022-10-15 22:47:14.050000,1080,1920,763,202
2022-10-15 22:47:14.060000,1080,1920,765,187
2022-10-15 22:47:14.080000,1080,1920,766,193
2022-10-15 22:47:14.100000,1080,1920,772,192
2022-10-15 22:47:14.110000,1080,1920,772,193
2022-10-15 22:47:14.130000,1080,1920,768,197
2022-10-15 22:47:14.150000,1080,1920,770,198
2022-10-15 22:47:14.160000,1080,1920,770,195
2022-10-15 22:47:14.180000,1080,1920,774,190
2022-10-15 22:47:14.200000,1080,1920,775,192
2022-10-15 22:47:14.210000,1080,1920,771,195
2022-10-15 22:47:14.230000,1080,1920,768,200
2022-10-15 22:47:14.250000,1080,1920,769,199
2022-10-15 22:47:14.260000,1080,1920,774,197
2022-10-15 22:47:14.280000,1080,1920,775,195
2022-10-15 22:47:14.300000,1080,1920,778,197
2022-10-15 22:47:14.310000,1080,1920,781,201
2022-10-15 22:47:14.330000,1080,1920,777,201
2022-10-15 22:47:14.350000,1080,1920,780,199
2022-10-15 22:47:14.360000,1080,1920,779,203
2022-10-15 22:47:14.380000,1080,1920,778,202
2022-10-15 22:47:14.400000,1080,1920,781,197
2022-10-15 22:47:14.410000,1080,1920,825,206
2022-10-15 22:47:14.430000,1080,1920,852,212
2022-10-15 22:47:14.450000,1080,1920,856,201
2022-10-15 22:47:14.460000,1080,1920,856,200
2022-10-15 22:47:14.480000,1080,1920,855,205
2022-10-15 22:47:14.500000,1080,1920,854,205
2022-10-15 22:47:14.510000,1080,1920,856,209
2022-10-15 22:47:14.530000,1080,1920,856,207
2022-10-15 22:47:14.550000,1080,1920,856,207
2022-10-15 22:47:14.560000,1080,1920,856,206
2022-10-15 22:47:14.580000,1080,1920,857,213
2022-10-15 22:47:14.600000,1080,1920,859,218
2022-10-15 22:47:14.610000,1080,1920,860,216
2022-10-15 22:47:14.630000,1080,1920,858,217
2022-10-15 22:47:14.650000,1080,1920,844,260
2022-10-15 22:47:14.660000,1080,1920,829,313
2022-10-15 22:47:14.680000,1080,1920,779,472
2022-10-15 22:47:14.700000,1080,1920,773,482
2022-10-15 22:47:14.710000,1080,1920,775,476
2022-10-15 22:47:14.730000,1080,1920,780,475
2022-10-15 22:47:14.750000,1080,1920,780,480
2022-10-15 22:47:14.760000,1080,1920,780,479
2022-10-15 22:47:14.780000,1080,1920,779,472
2022-10-15 22:47:14.800000,1080,1920,780,469
2022-10-15 22:47:14.810000,1080,1920,774,472
2022-10-15 22:47:14.830000,1080,1920,777,478
2022-10-15 22:47:14.850000,1080,1920,780,478
2022-10-15 22:47:14.860000,1080,1920,776,481
2022-10-15 22:47:14.880000,1080,1920,774,480
2022-10-15 22:47:14.900000,1080,1920,775,477
2022-10-15 22:47:14.910000,1080,1920,774,479
2022-10-15 22:47:14.930000,1080,1920,771,481
2022-10-15 22:47:14.950000,1080,1920,773,479
2022-10-15 22:47:14.960000,1080,1920,772,476
2022-10-15 22:47:14.980000,1080,1920,769,478
2022-10-15 22:47:15,1080,1920,774,480
2022-10-15 22:47:15.010000,1080,1920,771,476
2022-10-15 22:47:15.030000,1080,1920,769,476
2022-10-15 22:47:15.050000,1080,1920,752,467
2022-10-15 22:47:15.060000,1080,1920,731,417
2022-10-15 22:47:15.080000,1080,1920,718,341
2022-10-15 22:47:15.100000,1080,1920,723,320
2022-10-15 22:47:15.110000,1080,1920,729,303
2022-10-15 22:47:15.130000,1080,1920,728,306
2022-10-15 22:47:15.150000,1080,1920,720,306
2022-10-15 22:47:15.160000,1080,1920,727,308
2022-10-15 22:47:15.180000,1080,1920,727,305
2022-10-15 22:47:15.200000,1080,1920,722,306
2022-10-15 22:47:15.210000,1080,1920,720,301
2022-10-15 22:47:15.230000,1080,1920,718,297
2022-10-15 22:47:15.250000,1080,1920,724,297
2022-10-15 22:47:15.260000,1080,1920,726,297
2022-10-15 22:47:15.280000,1080,1920,724,302
2022-10-15 22:47:15.300000,1080,1920,724,306
2022-10-15 22:47:15.310000,1080,1920,725,298
2022-10-15 22:47:15.330000,1080,1920,724,302
2022-10-15 22:47:15.350000,1080,1920,725,308
2022-10-15 22:47:15.360000,1080,1920,726,301
2022-10-15 22:47:15.380000,1080,1920,730,304
2022-10-15 22:47:15.400000,1080,1920,733,307
2022-10-15 22:47:15.410000,1080,1920,732,305
2022-10-15 22:47:15.430000,1080,1920,731,303
2022-10-15 22:47:15.450000,1080,1920,730,309
2022-10-15 22:47:15.460000,1080,1920,733,307
2022-10-15 22:47:15.480000,1080,1920,732,302
2022-10-15 22:47:15.500000,1080,1920,726,308
2022-10-15 22:47:15.510000,1080,1920,727,308
2022-10-15 22:47:15.530000,1080,1920,732,306
2022-10-15 22:47:15.550000,1080,1920,734,310
2022-10-15 22:47:15.560000,1080,1920,734,310
2022-10-15 22:47:15.580000,1080,1920,735,305
2022-10-15 22:47:15.600000,1080,1920,735,305
2022-10-15 22:47:15.610000,1080,1920,733,310
2022-10-15 22:47:15.630000,1080,1920,731,313
2022-10-15 22:47:15.650000,1080,1920,733,322
2022-10-15 22:47:15.660000,1080,1920,734,322
2022-10-15 22:47:15.680000,1080,1920,733,318
2022-10-15 22:47:15.700000,1080,1920,733,318
