time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:47:18.060000,1080,1920,701,336
2022-10-15 22:47:18.080000,1080,1920,710,334
2022-10-15 22:47:18.090000,1080,1920,854,298
2022-10-15 22:47:18.110000,1080,1920,861,311
2022-10-15 22:47:18.130000,1080,1920,860,310
2022-10-15 22:47:18.150000,1080,1920,861,307
2022-10-15 22:47:18.160000,1080,1920,860,312
2022-10-15 22:47:18.180000,1080,1920,854,313
2022-10-15 22:47:18.190000,1080,1920,850,319
2022-10-15 22:47:18.210000,1080,1920,846,318
2022-10-15 22:47:18.230000,1080,1920,848,315
2022-10-15 22:47:18.250000,1080,1920,845,321
2022-10-15 22:47:18.260000,1080,1920,843,323
2022-10-15 22:47:18.280000,1080,1920,846,325
2022-10-15 22:47:18.290000,1080,1920,846,327
2022-10-15 22:47:18.310000,1080,1920,844,322
2022-10-15 22:47:18.330000,1080,1920,845,322
2022-10-15 22:47:18.340000,1080,1920,849,317
2022-10-15 22:47:18.360000,1080,1920,851,313
2022-10-15 22:47:18.380000,1080,1920,853,313
2022-10-15 22:47:18.390000,1080,1920,854,323
2022-10-15 22:47:18.410000,1080,1920,854,326
2022-10-15 22:47:18.430000,1080,1920,854,322
2022-10-15 22:47:18.440000,1080,1920,845,328
2022-10-15 22:47:18.460000,1080,1920,841,329
2022-10-15 22:47:18.480000,1080,1920,845,330
2022-10-15 22:47:18.490000,1080,1920,850,332
2022-10-15 22:47:18.510000,1080,1920,850,335
2022-10-15 22:47:18.530000,1080,1920,855,329
2022-10-15 22:47:18.540000,1080,1920,855,330
2022-10-15 22:47:18.560000,1080,1920,847,342
2022-10-15 22:47:18.580000,1080,1920,764,364
2022-10-15 22:47:18.590000,1080,1920,726,370
2022-10-15 22:47:18.610000,1080,1920,731,360
2022-10-15 22:47:18.630000,1080,1920,730,361
2022-10-15 22:47:18.640000,1080,1920,735,361
2022-10-15 22:47:18.660000,1080,1920,727,357
2022-10-15 22:47:18.680000,1080,1920,726,358
2022-10-15 22:47:18.690000,1080,1920,730,356
2022-10-15 22:47:18.710000,1080,1920,729,354
2022-10-15 22:47:18.730000,1080,1920,734,361
2022-10-15 22:47:18.740000,1080,1920,732,366
2022-10-15 22:47:18.760000,1080,1920,730,360
2022-10-15 22:47:18.780000,1080,1920,733,358
2022-10-15 22:47:18.790000,1080,1920,737,368
2022-10-15 22:47:18.810000,1080,1920,780,392
2022-10-15 22:47:18.830000,1080,1920,868,379
2022-10-15 22:47:18.840000,1080,1920,866,370
2022-10-15 22:47:18.860000,1080,1920,858,366
2022-10-15 22:47:18.880000,1080,1920,860,363
2022-10-15 22:47:18.890000,1080,1920,867,363
2022-10-15 22:47:18.910000,1080,1920,862,362
2022-10-15 22:47:18.930000,1080,1920,861,356
2022-10-15 22:47:18.940000,1080,1920,867,349
2022-10-15 22:47:18.960000,1080,1920,862,347
2022-10-15 22:47:18.980000,1080,1920,861,353
2022-10-15 22:47:18.990000,1080,1920,870,361
2022-10-15 22:47:19.010000,1080,1920,870,368
2022-10-15 22:47:19.030000,1080,1920,869,376
2022-10-15 22:47:19.040000,1080,1920,868,383
2022-10-15 22:47:19.060000,1080,1920,869,381
2022-10-15 22:47:19.080000,1080,1920,868,377
2022-10-15 22:47:19.090000,1080,1920,866,376
2022-10-15 22:47:19.110000,1080,1920,868,369
2022-10-15 22:47:19.130000,1080,1920,865,366
2022-10-15 22:47:19.140000,1080,1920,866,364
2022-10-15 22:47:19.160000,1080,1920,861,359
2022-10-15 22:47:19.180000,1080,1920,859,357
2022-10-15 22:47:19.190000,1080,1920,861,361
2022-10-15 22:47:19.210000,1080,1920,862,361
2022-10-15 22:47:19.230000,1080,1920,861,365
2022-10-15 22:47:19.240000,1080,1920,862,373
2022-10-15 22:47:19.260000,1080,1920,875,405
2022-10-15 22:47:19.280000,1080,1920,858,482
2022-10-15 22:47:19.290000,1080,1920,827,518
