time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:47:23.960000,1080,1920,1114,387
2022-10-15 22:47:23.970000,1080,1920,1113,384
2022-10-15 22:47:23.990000,1080,1920,1112,382
2022-10-15 22:47:24.010000,1080,1920,1114,383
2022-10-15 22:47:24.020000,1080,1920,1116,381
2022-10-15 22:47:24.040000,1080,1920,1120,376
2022-10-15 22:47:24.060000,1080,1920,1120,380
2022-10-15 22:47:24.070000,1080,1920,1120,383
2022-10-15 22:47:24.090000,1080,1920,1174,358
2022-10-15 22:47:24.110000,1080,1920,1246,322
2022-10-15 22:47:24.120000,1080,1920,1245,320
2022-10-15 22:47:24.140000,1080,1920,1250,320
2022-10-15 22:47:24.160000,1080,1920,1248,326
2022-10-15 22:47:24.170000,1080,1920,1250,364
2022-10-15 22:47:24.190000,1080,1920,1250,378
2022-10-15 22:47:24.340000,1080,1920,1231,445
2022-10-15 22:47:24.360000,1080,1920,1231,445
2022-10-15 22:47:24.370000,1080,1920,1230,276
2022-10-15 22:47:24.390000,1080,1920,1232,249
2022-10-15 22:47:24.410000,1080,1920,1241,261
2022-10-15 22:47:24.420000,1080,1920,1236,264
2022-10-15 22:47:24.440000,1080,1920,1235,250
2022-10-15 22:47:24.460000,1080,1920,1242,273
2022-10-15 22:47:24.470000,1080,1920,1237,276
2022-10-15 22:47:24.490000,1080,1920,1239,276
2022-10-15 22:47:24.510000,1080,1920,1236,278
2022-10-15 22:47:24.520000,1080,1920,1236,276
2022-10-15 22:47:24.540000,1080,1920,1238,278
2022-10-15 22:47:24.560000,1080,1920,1237,282
2022-10-15 22:47:24.570000,1080,1920,1237,279
2022-10-15 22:47:24.590000,1080,1920,1212,234
2022-10-15 22:47:24.610000,1080,1920,1170,155
2022-10-15 22:47:24.740000,1080,1920,1237,463
2022-10-15 22:47:24.760000,1080,1920,1237,463
2022-10-15 22:47:24.770000,1080,1920,1219,273
2022-10-15 22:47:24.790000,1080,1920,1219,263
2022-10-15 22:47:24.810000,1080,1920,1223,266
2022-10-15 22:47:24.820000,1080,1920,1230,271
2022-10-15 22:47:24.840000,1080,1920,1231,264
2022-10-15 22:47:24.860000,1080,1920,1224,266
2022-10-15 22:47:24.870000,1080,1920,1223,273
2022-10-15 22:47:24.890000,1080,1920,1226,273
2022-10-15 22:47:24.910000,1080,1920,1226,273
2022-10-15 22:47:24.920000,1080,1920,1264,304
2022-10-15 22:47:24.940000,1080,1920,1321,324
2022-10-15 22:47:24.960000,1080,1920,1317,324
2022-10-15 22:47:24.970000,1080,1920,1320,330
2022-10-15 22:47:24.990000,1080,1920,1316,325
2022-10-15 22:47:25.010000,1080,1920,1315,321
2022-10-15 22:47:25.020000,1080,1920,1313,322
2022-10-15 22:47:25.040000,1080,1920,1310,325
2022-10-15 22:47:25.060000,1080,1920,1312,329
2022-10-15 22:47:25.070000,1080,1920,1313,327
2022-10-15 22:47:25.090000,1080,1920,1316,325
2022-10-15 22:47:25.110000,1080,1920,1316,328
2022-10-15 22:47:25.120000,1080,1920,1308,347
2022-10-15 22:47:25.140000,1080,1920,1287,400
2022-10-15 22:47:25.160000,1080,1920,1279,405
2022-10-15 22:47:25.170000,1080,1920,1282,403
2022-10-15 22:47:25.190000,1080,1920,1279,404
2022-10-15 22:47:25.210000,1080,1920,1280,403
2022-10-15 22:47:25.220000,1080,1920,1279,407
2022-10-15 22:47:25.240000,1080,1920,1275,406
2022-10-15 22:47:25.260000,1080,1920,1278,405
2022-10-15 22:47:25.270000,1080,1920,1279,407
2022-10-15 22:47:25.290000,1080,1920,1277,397
2022-10-15 22:47:25.310000,1080,1920,1279,376
2022-10-15 22:47:25.320000,1080,1920,1282,371
2022-10-15 22:47:25.340000,1080,1920,1278,371
2022-10-15 22:47:25.360000,1080,1920,1277,367
2022-10-15 22:47:25.370000,1080,1920,1276,373
2022-10-15 22:47:25.390000,1080,1920,1275,377
2022-10-15 22:47:25.410000,1080,1920,1277,379
2022-10-15 22:47:25.420000,1080,1920,1281,377
2022-10-15 22:47:25.440000,1080,1920,1282,375
2022-10-15 22:47:25.460000,1080,1920,1284,382
2022-10-15 22:47:25.470000,1080,1920,1281,384
2022-10-15 22:47:25.490000,1080,1920,1279,383
2022-10-15 22:47:25.510000,1080,1920,1282,384
2022-10-15 22:47:25.520000,1080,1920,1282,385
2022-10-15 22:47:25.540000,1080,1920,1220,334
2022-10-15 22:47:25.560000,1080,1920,1174,282
2022-10-15 22:47:25.570000,1080,1920,1157,277
2022-10-15 22:47:25.590000,1080,1920,1159,282
2022-10-15 22:47:25.610000,1080,1920,1159,281
2022-10-15 22:47:25.620000,1080,1920,1149,289
2022-10-15 22:47:25.640000,1080,1920,1149,289
2022-10-15 22:47:25.660000,1080,1920,1158,289
2022-10-15 22:47:25.840000,1080,1920,1196,229
2022-10-15 22:47:25.860000,1080,1920,1187,244
2022-10-15 22:47:25.870000,1080,1920,1197,252
2022-10-15 22:47:25.890000,1080,1920,1196,251
2022-10-15 22:47:25.910000,1080,1920,1191,213
2022-10-15 22:47:25.920000,1080,1920,1195,236
