time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:47:41.990000,1080,1920,906,300
2022-10-15 22:47:42.010000,1080,1920,906,303
2022-10-15 22:47:42.030000,1080,1920,908,313
2022-10-15 22:47:42.040000,1080,1920,909,311
2022-10-15 22:47:42.060000,1080,1920,905,305
2022-10-15 22:47:42.080000,1080,1920,905,321
2022-10-15 22:47:42.090000,1080,1920,726,281
2022-10-15 22:47:42.110000,1080,1920,722,264
2022-10-15 22:47:42.130000,1080,1920,735,263
2022-10-15 22:47:42.140000,1080,1920,745,268
2022-10-15 22:47:42.160000,1080,1920,748,272
2022-10-15 22:47:42.180000,1080,1920,738,273
2022-10-15 22:47:42.190000,1080,1920,719,260
2022-10-15 22:47:42.210000,1080,1920,729,256
2022-10-15 22:47:42.230000,1080,1920,739,273
2022-10-15 22:47:42.240000,1080,1920,738,271
2022-10-15 22:47:42.260000,1080,1920,738,270
2022-10-15 22:47:42.280000,1080,1920,740,280
2022-10-15 22:47:42.290000,1080,1920,738,276
2022-10-15 22:47:42.310000,1080,1920,735,268
2022-10-15 22:47:42.330000,1080,1920,742,268
2022-10-15 22:47:42.340000,1080,1920,742,275
2022-10-15 22:47:42.360000,1080,1920,738,270
2022-10-15 22:47:42.380000,1080,1920,749,270
2022-10-15 22:47:42.390000,1080,1920,749,271
2022-10-15 22:47:42.410000,1080,1920,735,261
2022-10-15 22:47:42.430000,1080,1920,735,260
2022-10-15 22:47:42.440000,1080,1920,743,270
2022-10-15 22:47:42.460000,1080,1920,743,271
2022-10-15 22:47:42.480000,1080,1920,745,276
2022-10-15 22:47:42.490000,1080,1920,742,282
2022-10-15 22:47:42.510000,1080,1920,735,278
2022-10-15 22:47:42.530000,1080,1920,734,281
2022-10-15 22:47:42.540000,1080,1920,741,282
2022-10-15 22:47:42.560000,1080,1920,738,277
2022-10-15 22:47:42.580000,1080,1920,735,272
2022-10-15 22:47:42.590000,1080,1920,737,270
2022-10-15 22:47:42.610000,1080,1920,733,268
2022-10-15 22:47:42.630000,1080,1920,732,267
2022-10-15 22:47:42.640000,1080,1920,735,269
2022-10-15 22:47:42.660000,1080,1920,732,264
2022-10-15 22:47:42.680000,1080,1920,727,273
2022-10-15 22:47:42.690000,1080,1920,729,274
2022-10-15 22:47:42.710000,1080,1920,736,275
2022-10-15 22:47:42.730000,1080,1920,736,273
2022-10-15 22:47:42.740000,1080,1920,730,276
2022-10-15 22:47:42.760000,1080,1920,733,284
2022-10-15 22:47:42.780000,1080,1920,736,281
2022-10-15 22:47:42.790000,1080,1920,733,277
2022-10-15 22:47:42.810000,1080,1920,733,273
2022-10-15 22:47:42.830000,1080,1920,734,263
2022-10-15 22:47:42.840000,1080,1920,733,265
2022-10-15 22:47:42.860000,1080,1920,732,272
2022-10-15 22:47:42.880000,1080,1920,728,276
2022-10-15 22:47:42.890000,1080,1920,727,282
2022-10-15 22:47:42.910000,1080,1920,726,285
2022-10-15 22:47:42.930000,1080,1920,725,290
2022-10-15 22:47:42.940000,1080,1920,732,289
2022-10-15 22:47:42.960000,1080,1920,724,279
2022-10-15 22:47:42.980000,1080,1920,712,267
2022-10-15 22:47:42.990000,1080,1920,715,263
2022-10-15 22:47:43.010000,1080,1920,713,261
2022-10-15 22:47:43.030000,1080,1920,714,257
2022-10-15 22:47:43.040000,1080,1920,717,263
2022-10-15 22:47:43.060000,1080,1920,720,276
2022-10-15 22:47:43.080000,1080,1920,720,281
2022-10-15 22:47:43.090000,1080,1920,716,290
2022-10-15 22:47:43.110000,1080,1920,715,287
2022-10-15 22:47:43.130000,1080,1920,716,286
2022-10-15 22:47:43.140000,1080,1920,716,286
2022-10-15 22:47:43.160000,1080,1920,720,292
2022-10-15 22:47:43.180000,1080,1920,723,294
2022-10-15 22:47:43.190000,1080,1920,715,284
2022-10-15 22:47:43.210000,1080,1920,719,286
2022-10-15 22:47:43.230000,1080,1920,726,290
2022-10-15 22:47:43.240000,1080,1920,722,289
2022-10-15 22:47:43.260000,1080,1920,719,286
2022-10-15 22:47:43.280000,1080,1920,719,289
2022-10-15 22:47:43.290000,1080,1920,725,283
2022-10-15 22:47:43.310000,1080,1920,725,287
2022-10-15 22:47:43.330000,1080,1920,722,292
2022-10-15 22:47:43.340000,1080,1920,723,286
2022-10-15 22:47:43.360000,1080,1920,720,281
2022-10-15 22:47:43.380000,1080,1920,716,280
2022-10-15 22:47:43.390000,1080,1920,711,281
2022-10-15 22:47:43.410000,1080,1920,713,286
2022-10-15 22:47:43.430000,1080,1920,711,290
2022-10-15 22:47:43.440000,1080,1920,716,288
2022-10-15 22:47:43.460000,1080,1920,713,304
2022-10-15 22:47:43.480000,1080,1920,705,307
2022-10-15 22:47:43.490000,1080,1920,707,292
2022-10-15 22:47:43.510000,1080,1920,712,290
2022-10-15 22:47:43.530000,1080,1920,711,287
2022-10-15 22:47:43.540000,1080,1920,712,282
