time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:47:54.020000,1080,1920,824,373
2022-10-15 22:47:54.040000,1080,1920,824,372
2022-10-15 22:47:54.050000,1080,1920,827,370
2022-10-15 22:47:54.070000,1080,1920,828,371
2022-10-15 22:47:54.090000,1080,1920,805,336
2022-10-15 22:47:54.100000,1080,1920,790,283
2022-10-15 22:47:54.120000,1080,1920,783,246
2022-10-15 22:47:54.140000,1080,1920,785,246
2022-10-15 22:47:54.150000,1080,1920,785,232
2022-10-15 22:47:54.170000,1080,1920,785,229
2022-10-15 22:47:54.180000,1080,1920,780,227
2022-10-15 22:47:54.200000,1080,1920,781,233
2022-10-15 22:47:54.220000,1080,1920,788,232
2022-10-15 22:47:54.230000,1080,1920,784,225
2022-10-15 22:47:54.250000,1080,1920,782,221
2022-10-15 22:47:54.270000,1080,1920,779,215
2022-10-15 22:47:54.290000,1080,1920,788,216
2022-10-15 22:47:54.300000,1080,1920,787,217
2022-10-15 22:47:54.320000,1080,1920,761,242
2022-10-15 22:47:54.480000,1080,1920,833,227
2022-10-15 22:47:54.500000,1080,1920,828,199
2022-10-15 22:47:54.520000,1080,1920,822,193
2022-10-15 22:47:54.540000,1080,1920,821,194
2022-10-15 22:47:54.550000,1080,1920,822,197
2022-10-15 22:47:54.570000,1080,1920,817,200
2022-10-15 22:47:54.580000,1080,1920,816,201
2022-10-15 22:47:54.600000,1080,1920,821,201
2022-10-15 22:47:54.620000,1080,1920,822,194
2022-10-15 22:47:54.640000,1080,1920,825,192
2022-10-15 22:47:54.650000,1080,1920,828,190
2022-10-15 22:47:54.670000,1080,1920,829,187
2022-10-15 22:47:54.680000,1080,1920,818,226
2022-10-15 22:47:54.700000,1080,1920,810,257
2022-10-15 22:47:54.720000,1080,1920,808,256
2022-10-15 22:47:54.730000,1080,1920,806,262
2022-10-15 22:47:54.750000,1080,1920,807,260
2022-10-15 22:47:54.770000,1080,1920,804,262
2022-10-15 22:47:54.790000,1080,1920,807,263
2022-10-15 22:47:54.800000,1080,1920,809,257
2022-10-15 22:47:54.820000,1080,1920,807,252
2022-10-15 22:47:54.830000,1080,1920,809,249
2022-10-15 22:47:54.850000,1080,1920,811,253
2022-10-15 22:47:54.870000,1080,1920,809,254
2022-10-15 22:47:54.890000,1080,1920,809,255
2022-10-15 22:47:54.900000,1080,1920,814,255
2022-10-15 22:47:54.920000,1080,1920,810,255
2022-10-15 22:47:54.930000,1080,1920,813,258
2022-10-15 22:47:54.950000,1080,1920,756,228
2022-10-15 22:47:54.970000,1080,1920,718,187
2022-10-15 22:47:54.980000,1080,1920,719,181
2022-10-15 22:47:55,1080,1920,720,180
2022-10-15 22:47:55.020000,1080,1920,713,172
2022-10-15 22:47:55.040000,1080,1920,707,171
2022-10-15 22:47:55.050000,1080,1920,711,172
2022-10-15 22:47:55.070000,1080,1920,715,179
2022-10-15 22:47:55.080000,1080,1920,712,185
2022-10-15 22:47:55.100000,1080,1920,712,183
2022-10-15 22:47:55.120000,1080,1920,711,181
2022-10-15 22:47:55.140000,1080,1920,706,182
2022-10-15 22:47:55.150000,1080,1920,706,177
2022-10-15 22:47:55.170000,1080,1920,703,173
2022-10-15 22:47:55.180000,1080,1920,699,172
2022-10-15 22:47:55.200000,1080,1920,703,174
2022-10-15 22:47:55.220000,1080,1920,703,172
2022-10-15 22:47:55.230000,1080,1920,706,175
2022-10-15 22:47:55.250000,1080,1920,703,164
2022-10-15 22:47:55.270000,1080,1920,704,159
2022-10-15 22:47:55.290000,1080,1920,707,175
2022-10-15 22:47:55.300000,1080,1920,702,168
2022-10-15 22:47:55.320000,1080,1920,699,163
2022-10-15 22:47:55.330000,1080,1920,699,169
2022-10-15 22:47:55.350000,1080,1920,698,166
2022-10-15 22:47:55.370000,1080,1920,738,165
2022-10-15 22:47:55.390000,1080,1920,805,152
