time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:48:00.030000,1080,1920,794,350
2022-10-15 22:48:00.050000,1080,1920,803,339
2022-10-15 22:48:00.060000,1080,1920,806,343
2022-10-15 22:48:00.080000,1080,1920,819,335
2022-10-15 22:48:00.100000,1080,1920,858,304
2022-10-15 22:48:00.110000,1080,1920,927,253
2022-10-15 22:48:00.130000,1080,1920,940,255
2022-10-15 22:48:00.150000,1080,1920,942,253
2022-10-15 22:48:00.170000,1080,1920,939,249
2022-10-15 22:48:00.180000,1080,1920,936,250
2022-10-15 22:48:00.200000,1080,1920,931,250
2022-10-15 22:48:00.210000,1080,1920,939,252
2022-10-15 22:48:00.230000,1080,1920,939,250
2022-10-15 22:48:00.250000,1080,1920,938,257
2022-10-15 22:48:00.260000,1080,1920,941,250
2022-10-15 22:48:00.280000,1080,1920,884,258
2022-10-15 22:48:00.450000,1080,1920,873,215
2022-10-15 22:48:00.460000,1080,1920,877,202
2022-10-15 22:48:00.480000,1080,1920,874,161
2022-10-15 22:48:00.500000,1080,1920,870,156
2022-10-15 22:48:00.510000,1080,1920,879,176
2022-10-15 22:48:00.530000,1080,1920,876,175
2022-10-15 22:48:00.550000,1080,1920,871,165
2022-10-15 22:48:00.560000,1080,1920,871,170
2022-10-15 22:48:00.580000,1080,1920,871,171
2022-10-15 22:48:00.600000,1080,1920,876,175
2022-10-15 22:48:00.610000,1080,1920,937,177
2022-10-15 22:48:00.630000,1080,1920,992,179
2022-10-15 22:48:00.650000,1080,1920,1058,173
2022-10-15 22:48:00.660000,1080,1920,1062,184
2022-10-15 22:48:00.680000,1080,1920,1061,185
2022-10-15 22:48:00.700000,1080,1920,1058,183
2022-10-15 22:48:00.710000,1080,1920,1061,192
2022-10-15 22:48:00.730000,1080,1920,1063,188
2022-10-15 22:48:00.750000,1080,1920,1058,192
2022-10-15 22:48:00.760000,1080,1920,1059,194
2022-10-15 22:48:00.780000,1080,1920,1058,193
2022-10-15 22:48:00.800000,1080,1920,1054,196
2022-10-15 22:48:00.810000,1080,1920,1054,204
2022-10-15 22:48:00.830000,1080,1920,1056,200
2022-10-15 22:48:00.850000,1080,1920,1060,200
2022-10-15 22:48:00.860000,1080,1920,1057,201
2022-10-15 22:48:00.880000,1080,1920,1060,195
2022-10-15 22:48:00.900000,1080,1920,1060,198
2022-10-15 22:48:00.910000,1080,1920,1060,206
2022-10-15 22:48:00.930000,1080,1920,1065,201
2022-10-15 22:48:00.950000,1080,1920,1063,202
2022-10-15 22:48:00.960000,1080,1920,1043,204
2022-10-15 22:48:00.980000,1080,1920,959,189
2022-10-15 22:48:01,1080,1920,933,187
2022-10-15 22:48:01.010000,1080,1920,937,199
2022-10-15 22:48:01.030000,1080,1920,942,202
2022-10-15 22:48:01.050000,1080,1920,937,199
2022-10-15 22:48:01.060000,1080,1920,931,198
2022-10-15 22:48:01.080000,1080,1920,937,200
2022-10-15 22:48:01.100000,1080,1920,939,200
2022-10-15 22:48:01.110000,1080,1920,938,204
2022-10-15 22:48:01.130000,1080,1920,940,204
2022-10-15 22:48:01.150000,1080,1920,906,185
2022-10-15 22:48:01.160000,1080,1920,881,174
2022-10-15 22:48:01.180000,1080,1920,863,161
